,tweet_text,user_screen_name,user_name,user_location,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,tweet_created_at,tweet_id,tweet_source,tweet_lang,tweet_quote_count,tweet_reply_count,tweet_retweet_count,tweet_favorite_count,source_tweet_text,is_retweet,source_user_screen_name,source_user_name,source_user_location,source_user_followers_count,source_user_friends_count,source_user_listed_count,source_user_favourites_count,source_tweet_created_at,source_tweet_id,source_tweet_source,source_tweet_lang,source_tweet_quote_count,source_tweet_reply_count,source_tweet_retweet_count,source_tweet_favorite_count
1293,Vicky Theresa Marcus House #WorldCup2022 Phil Gaskell  # # # #BOB # # # # # # Bernice Garden https://t.co/sHtAldw8H8,Swax16264284,   CBA   AG AG    ,,3,21,0,7,Fri Nov 18 01:03:16 +0000 2022,1593409470004011009,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,0,0,0,0,,False,,,,,,,,,,,,,,,
1294,"RT @ESPNFC: Argentina and Uruguay's national teams have each taken 2,000 pounds of meat with them to the World Cup so players and staff can",broocedees,riddler,,120,95,0,16823,Fri Nov 18 01:03:16 +0000 2022,1593409470503288834,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Argentina and Uruguay's national teams have each taken 2,000 pounds of meat with them to the World Cup so players and staff can have a taste of home in Qatar   https://t.co/daDp1j2zhy",True,ESPNFC,ESPN FC,,6734903.0,613.0,13303.0,892.0,Thu Nov 17 19:28:06 +0000 2022,1.5933251245471416e+18,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",en,94.0,119.0,678.0,12925.0
1295,"RT @jihanicorn: $100 | 1,5 JT  12 Hours 

- $50  RT &amp; RT, Like Quoted Tweet Below

- $50 Bonus  Click this Link (Post Proof)  https",WinJalurVVIP,Win Jalur Langit $TTC,,75,2240,0,19302,Fri Nov 18 01:03:16 +0000 2022,1593409471401033728,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"$100 | 1,5 JT  12 Hours 

- $50  RT &amp; RT, Like Quoted Tweet Below

- $50 Bonus  Click this Link (Post Proof)  https://t.co/zgVnWbuc5W",True,jihanicorn,Jihaan ,,260436.0,214.0,796.0,50.0,Thu Nov 17 04:52:30 +0000 2022,1.593104771250258e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,10.0,4336.0,8978.0,1744.0
1296,"RT @MetaOraclepro: Celebrating the upcoming WorldCup 2022
100,000 MST #Giveaway  from MetaOracle &amp; MetaSports  

Task
Follow @MetaOra",bundamalika23,bunda malika,,8,224,0,1,Fri Nov 18 01:03:16 +0000 2022,1593409471836921856,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Celebrating the upcoming WorldCup 2022
100,000 MST #Giveaway  from MetaOracle &amp; MetaSports  

Task
Follow @MetaOraclepro  
RT, like and tag 3 friends
Leave your #BSC wallet in the discord: https://t.co/Zm1eCflzaI

72 H 

#WorldCup2022  #Bitcoin #Binance #airdrop https://t.co/0hMIrJoB1E",True,MetaOraclepro,MetaOracle,Singapore,14993.0,49.0,82.0,290.0,Tue Nov 15 07:56:42 +0000 2022,1.592426350362923e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,157.0,576.0,671.0,725.0
1297,RT @FBAwayDays: Its coming home expertly sung by the England fans in Qatar  https://t.co/2byUfpeDtR,Forever_War_Fan,Cerebral Sports Watcher,,9,271,0,15100,Fri Nov 18 01:03:17 +0000 2022,1593409472982122497,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,Its coming home expertly sung by the England fans in Qatar  https://t.co/2byUfpeDtR,True,FBAwayDays,Football Away Days,"England, United Kingdom",234689.0,84.0,380.0,30.0,Thu Nov 17 07:09:51 +0000 2022,1.5931393364046766e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,802.0,949.0,1033.0,12436.0
1298,"RT @jihanicorn: $100 | 1,5 JT  12 Hours 

- $50  RT &amp; RT, Like Quoted Tweet Below

- $50 Bonus  Click this Link (Post Proof)  https",6ooT13W1oo9,  ,,86,3467,0,6629,Fri Nov 18 01:03:17 +0000 2022,1593409474228019200,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"$100 | 1,5 JT  12 Hours 

- $50  RT &amp; RT, Like Quoted Tweet Below

- $50 Bonus  Click this Link (Post Proof)  https://t.co/zgVnWbuc5W",True,jihanicorn,Jihaan ,,260436.0,214.0,796.0,50.0,Thu Nov 17 04:52:30 +0000 2022,1.593104771250258e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,10.0,4336.0,8979.0,1744.0
1299,"RT @BBCRajiniV: A BBC investigation has uncovered evidence of migrant workers dying in workplace accidents in Qatar, in the final weeks bef",gnawalibn,Vu 0ne,"Kathmandu, Republic of Nepal",1065,1142,1,17522,Fri Nov 18 01:03:17 +0000 2022,1593409474638753792,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"A BBC investigation has uncovered evidence of migrant workers dying in workplace accidents in Qatar, in the final weeks before the World Cup. Families in #Nepal blame poor safety standards. Qatar's govt says its committed to the safety of all workers. @pateriyaram @rajneeshb https://t.co/Xjg6ghBcKS",True,BBCRajiniV,Rajini Vaidyanathan,South Asia,35085.0,7500.0,634.0,13129.0,Wed Nov 16 11:30:49 +0000 2022,1.5928426208875274e+18,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",en,67.0,32.0,382.0,551.0
1300,"RT @MohanadACM: Olivier Giroud 

#WorldCup2022 @_OlivierGiroud_  https://t.co/9H0efZaUeL",Javiofficiel,Xavi,,286,559,11,48383,Fri Nov 18 01:03:17 +0000 2022,1593409476123500544,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Olivier Giroud 

#WorldCup2022 @_OlivierGiroud_  https://t.co/9H0efZaUeL",True,MohanadACM,Mohanad ,Behance ,25582.0,182.0,104.0,5055.0,Thu Nov 17 15:40:15 +0000 2022,1.5932677823507702e+18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,14.0,1.0,35.0,442.0
1301,RT @marcowenjones: Just a heads up if anyone sees a story about Qatar bribing Ecuador 7.4 million to lose the opening game - it started her,vitreol,Inferno,,289,2756,3,72143,Fri Nov 18 01:03:18 +0000 2022,1593409476643651584,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,Just a heads up if anyone sees a story about Qatar bribing Ecuador 7.4 million to lose the opening game - it started here from a well-known disinformation account who is somehow also the main source in the story @amjadt25 . It's already got thousands of RTs though https://t.co/2EjjvqEbBV,True,marcowenjones,Marc Owen Jones,"Doha, Qatar",69252.0,5161.0,831.0,33348.0,Thu Nov 17 17:59:49 +0000 2022,1.5933029045548073e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,284.0,99.0,908.0,1647.0
1302,"RT @coinexindia: Follow Us: @coinexindia 
RT 
@coinkit_ mon 25 250 BTC

 #WorldCup2022 #WorldCup https://t.co/nLTptsZkNu",mil_ooo71,Mehdy,,18,53,0,1364,Fri Nov 18 01:03:18 +0000 2022,1593409479671832578,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,0,0,0,0,"Follow Us: @coinexindia 
RT 
@coinkit_ mon 25 250 BTC

 #WorldCup2022 #WorldCup https://t.co/nLTptsZkNu",True,coinexindia,CoinEx India Official ,India,1453.0,24.0,0.0,331.0,Thu Nov 17 07:41:24 +0000 2022,1.593147274091434e+18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en,3.0,28.0,249.0,122.0
